,Type,Case Workclass,Status,Issued Date,Applied Date,Expiration Date,Finalized Date,AddressLine1,AddressLine2,AddressLine3,PostalCode,Description
17,Building (Residential) - Solar Panel [Roof-Mounted] Expedited,Solar Panel [Roof-Mounted] Expedited,Void,,,,,2020,Scio Church,,48103,Solar - roof mounted (0-50 panels)
18,Building (Residential) - Solar Panel [Roof-Mounted] Expedited,Solar Panel [Roof-Mounted] Expedited,Void,,2022-05-03 20:34:41.443000+00:00,,,1243,Marlborough,,48104,Expedited Solar roof mount on garage
19,Building (Residential) - Solar Panel [Roof-Mounted] Expedited,Solar Panel [Roof-Mounted] Expedited,Void,,2022-05-03 21:51:04.377000+00:00,,,566,Kuehnle,,48103,"14 panel solar array, roof mount on residence, grid tied"
20,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-16 22:20:59+00:00,2022-04-27 11:43:35.423000+00:00,2023-01-16 16:19:54+00:00,2022-08-03 04:00:00+00:00,309,Hiscock,,48103,Rooftop solar installation
21,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-07-12 10:37:49+00:00,2022-04-27 15:07:57.457000+00:00,2023-05-30 13:29:36+00:00,2022-12-02 05:00:00+00:00,1230,Saunders,,48103,roof mounted solar
22,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-31 18:29:47+00:00,,2023-02-21 01:42:40+00:00,2022-08-23 04:00:00+00:00,2020,Scio Church,,48103,Solar - roof mounted (0-50 panels)
23,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24 14:39:00+00:00,2022-05-02 14:31:14.563000+00:00,2023-05-22 17:11:32+00:00,2022-11-21 18:09:37+00:00,1601,Pontiac,,48105,solar on roof
24,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-21 21:42:23+00:00,2022-05-02 14:53:11.163000+00:00,2022-12-19 11:44:47+00:00,2022-06-23 04:00:00+00:00,1440,Jorn,,48104,2.52 kW Roof Mounted 7 Panel Solar Array
25,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-09 12:20:34+00:00,2022-05-02 16:41:45.250000+00:00,2023-05-08 14:41:44+00:00,2022-11-08 05:00:00+00:00,1116,Brooks,,48103,4.32 kW Roof Mounted 12 Panel Solar Array
26,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-31 18:52:25+00:00,2022-05-02 19:22:29.057000+00:00,2023-01-31 18:30:48+00:00,2022-08-04 17:31:21+00:00,1243,Marlborough,,48104,"16 panel solar array, roof mount on garage, grid tied"
27,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-31 18:28:34+00:00,2022-05-03 22:03:17.040000+00:00,2023-02-06 18:44:11+00:00,2022-08-10 04:00:00+00:00,566,Kuehnle,,48103,"14 Panel solar array, roof mount on residence, grid tied"
28,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-16 22:19:35+00:00,2022-05-04 21:09:06.113000+00:00,2023-03-15 10:37:23+00:00,2022-09-17 04:00:00+00:00,620,Susan,,48103,"9.02kW system
22, 410W panels
7.6kW inverter
power optimizers"
29,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-16 22:19:35+00:00,2022-05-04 21:09:06.113000+00:00,2023-03-15 10:37:23+00:00,2022-09-17 04:00:00+00:00,620,Susan,,48103,"9.02kW system
22, 410W panels
7.6kW inverter
power optimizers"
30,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-24 13:39:57+00:00,2022-05-10 19:27:07.367000+00:00,2023-03-20 13:55:21+00:00,2023-01-05 05:00:00+00:00,1530,Hill,,48104,13.94 kW Roof Mount PV w/battery
31,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-17 20:15:17+00:00,2022-05-11 17:49:19.170000+00:00,2023-01-03 15:19:09+00:00,2022-07-08 04:00:00+00:00,1417,Iroquois,,48104,3.6 kW Roof Mounted 10 panel Solar Array
32,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Void,,2022-05-13 15:23:07.137000+00:00,,,1115,Lutz,,48103,Roof Mounted Solar Installation of 4.86 KW
33,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-17 20:15:17+00:00,2022-05-11 17:49:19.170000+00:00,2023-01-03 15:19:09+00:00,2022-07-08 04:00:00+00:00,1417,Iroquois,,48104,3.6 kW Roof Mounted 10 panel Solar Array
34,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Expired,2022-05-21 21:18:12+00:00,2022-05-13 11:50:15.293000+00:00,2023-02-21 18:59:18+00:00,2023-02-21 05:00:00+00:00,1601,Pontiac,,48105,18 panels on roof
35,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-21 21:20:48+00:00,2022-05-13 15:20:18.020000+00:00,2023-02-13 14:31:02+00:00,2022-08-16 04:00:00+00:00,1115,Lutz,,48103,Roof Mounted Solar Installation of 4.86 KW
36,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-23 21:11:46+00:00,2022-05-13 19:51:23.283000+00:00,2023-04-05 15:11:05+00:00,2022-10-08 04:00:00+00:00,2416,Dorchester,,48104,"6.08 kW array
16, 380W panels
6kW inverter
power optimizers"
37,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-13 18:22:10+00:00,2022-05-19 00:07:47.610000+00:00,2023-02-06 20:44:24+00:00,2022-08-19 04:00:00+00:00,2165,Ardenne,,48105,12 panels on roof
38,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-06-08 09:47:40+00:00,2022-05-24 18:08:00.413000+00:00,2022-12-05 10:47:04+00:00,2022-12-05 05:00:00+00:00,3425,Gettysburg,,48105,Addition of 16kWh battery to existing solar system (ELEC21-3701)
39,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-05 21:18:05+00:00,2022-05-25 19:33:07.320000+00:00,2023-03-14 15:32:58+00:00,2022-09-16 04:00:00+00:00,2144,Prairie,,48105,8.20 kW array with 11.4 kW inverter
40,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-06-09 19:26:46+00:00,2022-05-31 17:58:47.027000+00:00,2023-06-12 15:08:48+00:00,2022-12-14 05:00:00+00:00,3151,Baylis,,48108,11 panel roof mounted solar array - Electrical permit is also needed.
41,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-05 21:18:05+00:00,2022-05-25 19:33:07.320000+00:00,2023-03-14 15:32:58+00:00,2022-09-16 04:00:00+00:00,2144,Prairie,,48105,8.20 kW array with 11.4 kW inverter
42,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24 14:44:30+00:00,2022-06-03 12:32:52.670000+00:00,2023-01-30 16:30:21+00:00,2022-08-10 04:00:00+00:00,1510,Normandy,,48103,solar panels on roof
43,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-09 11:13:35+00:00,2022-06-06 13:27:38.407000+00:00,2023-04-05 14:47:47+00:00,2022-10-08 04:00:00+00:00,2206,Hill,,48104,10.8 kW Roof Mounted 30 Panel Solar System
44,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24 14:43:31+00:00,2022-06-06 14:01:28.313000+00:00,2023-07-24 14:10:40+00:00,2023-01-24 05:00:00+00:00,3445,Vintage Valley,,48105,11.520 kW Roof Mounted  32 Panel Solar Array
45,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-05 20:00:19+00:00,2022-06-06 14:41:28.010000+00:00,2023-07-03 12:10:25+00:00,2023-01-04 05:00:00+00:00,1303,Horman,,48104,7.2 kW Roof Mounted 20 Panel Solar Array
46,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-06-24 14:45:53+00:00,2022-06-07 20:50:02.143000+00:00,2023-05-30 14:15:27+00:00,2022-10-07 04:00:00+00:00,1351,Glendaloch,,48104,"Installation of a flat-roof-mounted solar array consisting of (37) solar panels with micro-inverters, 2 Tesla Powerwalls, and a surge arrester."
47,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-06-24 14:27:23+00:00,2022-06-10 16:08:55.217000+00:00,2023-05-30 14:15:27+00:00,2023-05-02 04:00:00+00:00,1351,Glendaloch,,48104,Installation of a flat-roof-mounted solar array consisting of (37) solar panels.
48,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24 14:41:23+00:00,2022-06-15 20:39:03.433000+00:00,2023-03-17 19:33:29+00:00,2022-09-19 04:00:00+00:00,819,Daniel,,48103,Installation of a roof-mounted solar array consisting of (12) solar panels with micro-inverters and a surge arrester
49,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24 14:41:23+00:00,2022-06-15 20:39:03.433000+00:00,2023-03-17 19:33:29+00:00,2022-09-19 04:00:00+00:00,819,Daniel,,48103,Installation of a roof-mounted solar array consisting of (12) solar panels with micro-inverters and a surge arrester
50,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24 14:34:15+00:00,2022-06-16 21:07:23.203000+00:00,2023-04-19 15:13:34+00:00,2022-10-22 04:00:00+00:00,2348,Hickory Point,,48105,"15 panel solar array roof mounted on residence, grid tied with battery"
51,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26 11:04:02+00:00,2022-06-17 16:15:29.807000+00:00,2023-02-14 00:01:30+00:00,2022-08-26 04:00:00+00:00,810,Sunset,,48103,Solar Panel Installation on Main Roof
52,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-03 10:24:54+00:00,2022-06-24 22:12:55.383000+00:00,2023-04-19 14:45:42+00:00,2022-10-22 04:00:00+00:00,630,Archwood,,48103,"36 panel solar array roof mount on residence, grid tied"
53,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-09 11:07:14+00:00,2022-06-24 23:35:04.670000+00:00,2023-04-03 22:30:32+00:00,2022-10-05 04:00:00+00:00,2659,Sequoia,,48103,"17 panel solar array, roof mount on residence, grid tied"
54,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-09 10:58:18+00:00,2022-06-28 21:48:10.030000+00:00,2023-03-27 15:40:50+00:00,2022-09-28 04:00:00+00:00,1545,Chalmers,,48104,"Install 22 panel solar array on attached garage roof, grid tied"
55,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-03 10:28:15+00:00,2022-07-06 15:48:35.127000+00:00,2023-03-20 15:46:45+00:00,2022-09-22 04:00:00+00:00,1515,Shadford,,48104,5.76 kW Roof Mounted 16 Panel Solar Array
56,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-12-01 12:09:11+00:00,2022-07-06 19:36:52.050000+00:00,2023-09-15 19:34:08+00:00,2023-09-15 04:00:00+00:00,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount
57,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2022-07-06 19:37:26.280000+00:00,,,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount *DUPLICATE OF ELECR22-2023*
58,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-08-10 18:10:39+00:00,2022-07-08 17:44:01.473000+00:00,2023-04-03 16:56:46+00:00,2022-10-05 04:00:00+00:00,3635,Fox Hunt,,48105,12.6 kW Roof Mounted 35 Panel Solar Array with Battery Backup
59,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Expired,2022-07-27 20:36:35+00:00,2022-07-11 19:24:57.270000+00:00,2023-03-15 20:14:20+00:00,2023-02-14 05:00:00+00:00,405,Main,,48104,"Installation of 80 panel solar array with conduits, hardware and supports.

Installation of unistrut racking wall for equipment mounting.

Installation of (2) 20kw 3 phase inverters, 1 combiner panel, 100 amp disconnect with conduits, hardware and supports (mounted on strut rack)

Installation of conduit wire and hardware from main switch gear to roof pv equipment rack.

Installation of 100 amp rapid shutdown PV disconnect mounted directly to switch gear."
60,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-03 10:28:15+00:00,2022-07-06 15:48:35.127000+00:00,2023-03-20 15:46:45+00:00,2022-09-22 04:00:00+00:00,1515,Shadford,,48104,5.76 kW Roof Mounted 16 Panel Solar Array
61,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-12-01 12:09:11+00:00,2022-07-06 19:36:52.050000+00:00,2023-09-15 19:34:08+00:00,2023-09-15 04:00:00+00:00,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount
62,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2022-07-06 19:37:26.280000+00:00,,,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount *DUPLICATE OF ELECR22-2023*
63,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26 11:21:36+00:00,2022-07-07 21:15:44.213000+00:00,2023-04-05 13:25:51+00:00,2022-10-08 04:00:00+00:00,1511,Golden,,48104,"34 panel roof mount solar array on residence, grid tied"
64,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26 20:29:06+00:00,2022-07-08 15:30:50.583000+00:00,2023-05-22 13:48:28+00:00,2022-12-09 05:00:00+00:00,1527,Waltham,,48103,solar on roof
65,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-07-26 11:22:29+00:00,2022-07-08 17:50:32.010000+00:00,2023-04-03 16:56:46+00:00,2022-10-05 04:00:00+00:00,3635,Fox Hunt,,48105,12.6 kW Roof Mounted 35 Panel Solar Array with Battery Backup
66,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-12 09:50:19+00:00,2022-07-08 23:41:57.657000+00:00,2023-03-27 15:14:45+00:00,2022-09-27 04:00:00+00:00,1200,Brooklyn,,48104,"16 SOLAR PANEL ARRAY, ROOF MOUNT ON RESIDENCE, GRID TIED"
67,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-12 10:16:10+00:00,2022-07-09 01:08:31.497000+00:00,2023-04-03 22:30:48+00:00,2022-10-05 04:00:00+00:00,2654,Sequoia,,48103,"17 panel roof mount on residence, grid tied"
68,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Fees Paid,,2022-07-18 20:32:36.037000+00:00,,,3108,Turnberry,,48108,Roof Mounted Solar 6.66kW 18 REC
69,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-07-26 11:18:55+00:00,2022-07-19 19:20:04.167000+00:00,2023-04-17 15:15:07+00:00,2022-10-20 04:00:00+00:00,1910,Independence,,48104,Propose to install solar panels on the existing roof of the home. All materials to be installed to manufacturer specifications per local snow and wind load.
70,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26 11:17:26+00:00,2022-07-14 18:03:09.310000+00:00,2023-05-22 15:36:50+00:00,2022-11-24 05:00:00+00:00,3232,Bluett,,48105,5.76 kW Roof Mounted 16 Panel Solar Array with Backup Battery
71,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26 11:20:17+00:00,2022-07-14 20:27:25.640000+00:00,2023-05-01 14:55:52+00:00,2022-11-02 04:00:00+00:00,784,Kuehnle,,48103,"Install 20 panel solar array on detached garage roof, grid tied"
72,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26 11:05:04+00:00,2022-07-14 22:07:39.503000+00:00,2023-07-10 13:48:51+00:00,2023-01-12 05:00:00+00:00,2021,Geddes,,48104,"Install 29-panel solar array on residence roof, grid tied"
73,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-28 22:21:34+00:00,2022-07-15 20:08:23.147000+00:00,2023-04-03 14:25:29+00:00,2022-10-04 04:00:00+00:00,541,Ashley,,48103,"Install 20- panel solar array on residence rooftop, grid tied"
74,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-11 21:37:03+00:00,2022-07-15 21:24:42.013000+00:00,2023-04-03 21:47:14+00:00,2022-10-11 18:34:32+00:00,3233,Lockridge,,48108,"Install 11 panel solar array on residence rooftop, grid tied"
75,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-08-11 21:36:10+00:00,2022-07-19 19:52:35.247000+00:00,2023-04-17 15:15:07+00:00,2022-10-14 04:00:00+00:00,1910,Independence,,48104,installation of solar array and connection to existing electrical system.
76,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-27 20:35:35+00:00,2022-07-22 21:10:35.387000+00:00,2023-09-05 16:39:27+00:00,2023-03-07 17:40:07+00:00,505,Burson,,48104,14 kW roof mount solar panels; 7.6kW & 6.0kW inverters with power optimizers
77,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-03-21 17:05:49+00:00,2022-08-01 17:16:02.210000+00:00,2023-09-27 16:31:12+00:00,2023-04-01 04:00:00+00:00,3611,Plymouth,,48105,Ballasted roof PV solar array with 23 Jinko 410W solar modules.
78,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-01 12:14:11+00:00,2022-07-28 13:00:40.287000+00:00,2023-05-30 13:53:51+00:00,2022-12-02 05:00:00+00:00,1509,Warwick,,48103,roof mounted solar
79,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-08-11 21:38:05+00:00,2022-08-02 12:44:46.187000+00:00,2023-05-08 14:50:56+00:00,2023-05-08 04:00:00+00:00,1756,Maple,,48103,solar on roof
80,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-09-15 12:30:43+00:00,2022-08-03 22:36:40.550000+00:00,2023-03-14 12:30:06+00:00,2023-03-14 04:00:00+00:00,3108,Turnberry,,48108,Roof Mounted Solar 6.66kW 18 REC
81,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-09-15 12:30:43+00:00,2022-08-03 22:36:40.550000+00:00,2023-03-14 12:30:06+00:00,2023-03-14 04:00:00+00:00,3108,Turnberry,,48108,Roof Mounted Solar 6.66kW 18 REC
82,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-08-11 21:35:23+00:00,2022-08-05 14:36:09.390000+00:00,2023-05-16 17:09:33+00:00,2023-01-10 15:51:39+00:00,3151,Baylis,,48108,11 panel roof mounted solar array
83,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-08-26 20:28:40+00:00,2022-08-05 16:56:07.170000+00:00,2023-08-14 10:54:44+00:00,2023-08-14 04:00:00+00:00,2355,Foxway,,48105,5.2kW Residential Roof Solar System
84,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26 18:47:05+00:00,2022-08-08 22:52:29.483000+00:00,2023-06-20 15:27:42+00:00,2023-02-02 05:00:00+00:00,2954,Philadelphia,,48103,3.2kW Residential Solar System
85,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-08-26 18:46:24+00:00,2022-08-09 13:31:21.107000+00:00,2023-09-25 19:35:47+00:00,2023-09-25 04:00:00+00:00,821,Bruce,,48103,2kW Residential Solar System
86,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26 18:46:45+00:00,2022-08-09 16:23:59.407000+00:00,2023-04-03 14:02:04+00:00,2022-10-04 04:00:00+00:00,2113,Thaler,,48103,6.075kW system
87,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26 18:43:43+00:00,2022-08-09 21:49:02.047000+00:00,2023-03-27 14:48:31+00:00,2022-09-29 04:00:00+00:00,906,Miner,,48103,8.4 kW roof mount system
88,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-09-27 14:57:48+00:00,2022-08-11 18:33:00.690000+00:00,2023-10-11 15:41:18+00:00,2023-10-11 04:00:00+00:00,3563,Larchmont,,48105,13.6 kW Residential Roof Solar System
89,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26 18:40:15+00:00,2022-08-12 20:45:31.380000+00:00,2023-04-11 13:51:17+00:00,2022-10-14 04:00:00+00:00,2730,Ember,,48104,4.4 kW roof mount solar with 16kWh battery
90,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26 18:44:24+00:00,2022-08-17 07:16:06.103000+00:00,2023-09-05 21:32:47+00:00,2023-03-10 05:00:00+00:00,1631,Waltham,,48103,5.6kW Roof-mounted Solar System
