,CaseType,CaseWorkclass,CaseStatus,IssueDate,ApplyDate,ExpireDate,FinalDate,AddressLine1,AddressLine2,AddressLine3,PostalCode,Description
1233,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-04-22T17:18:59Z,2022-04-18T16:25:06.37Z,2022-12-19T14:38:07Z,2022-06-23T04:00:00Z,1201,Harbrooke,,48103,15 Panel Roof-Mounted Solar Array
1594,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-10T09:13:23Z,2022-04-21T17:09:51.083Z,2022-12-28T17:32:20Z,2022-10-08T04:00:00Z,511,Potter,,48103,"6.97 kW roof mount solar
17, 410W panels
6 kW inverter
power optimizers"
1607,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-04-27T20:08:59Z,2022-04-22T14:26:34.053Z,2023-03-06T14:42:59Z,2023-01-05T05:00:00Z,711,Fourth,,48104,"10.66 kW array
26, 410W panels
10 kW inverter
power optimizers
16kWh battery"
1622,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2022-04-25T17:43:04.13Z,,,2289,Medford,,48104,"VOID - Duplicate Application, SEE ELECR22-2280 (5.04 kW Roof Mounted 14 Panel Solar Array)"
1623,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-04-26T14:04:36Z,2022-04-25T17:48:32.023Z,2022-11-30T17:39:25Z,2022-06-06T19:34:32Z,2289,Medford,,48104,5.04 Roof Mounted 15 Panel Solar Array
1639,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-16T22:20:59Z,2022-04-27T11:43:35.423Z,2023-01-16T16:19:54Z,2022-08-03T04:00:00Z,309,Hiscock,,48103,Rooftop solar installation
1645,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-07-12T10:37:49Z,2022-04-27T15:07:57.457Z,2023-05-30T13:29:36Z,2022-12-02T05:00:00Z,1230,Saunders,,48103,roof mounted solar
1960,Building (Residential) - Solar Panel [Roof-Mounted] Expedited,Solar Panel [Roof-Mounted] Expedited,Void,,2022-04-28T19:28:12Z,,,2020,Scio Church,,48103,Solar - roof mounted (0-50 panels)
1999,Building (Residential) - Solar Panel [Roof-Mounted] Expedited,Solar Panel [Roof-Mounted] Expedited,Void,,2022-05-03T20:34:41.443Z,,,1243,Marlborough,,48104,Expedited Solar roof mount on garage
2000,Building (Residential) - Solar Panel [Roof-Mounted] Expedited,Solar Panel [Roof-Mounted] Expedited,Void,,2022-05-03T21:51:04.377Z,,,566,Kuehnle,,48103,"14 panel solar array, roof mount on residence, grid tied"
2023,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-16T22:20:59Z,2022-04-27T11:43:35.423Z,2023-01-16T16:19:54Z,2022-08-03T04:00:00Z,309,Hiscock,,48103,Rooftop solar installation
2029,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-07-12T10:37:49Z,2022-04-27T15:07:57.457Z,2023-05-30T13:29:36Z,2022-12-02T05:00:00Z,1230,Saunders,,48103,roof mounted solar
2047,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-31T18:29:47Z,2022-04-28T19:36:12Z,2023-02-21T01:42:40Z,2022-08-23T04:00:00Z,2020,Scio Church,,48103,Solar - roof mounted (0-50 panels)
2064,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24T14:39:00Z,2022-05-02T14:31:14.563Z,2023-05-22T17:11:32Z,2022-11-21T18:09:37Z,1601,Pontiac,,48105,solar on roof
2066,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-21T21:42:23Z,2022-05-02T14:53:11.163Z,2022-12-19T11:44:47Z,2022-06-23T04:00:00Z,1440,Jorn,,48104,2.52 kW Roof Mounted 7 Panel Solar Array
2070,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-09T12:20:34Z,2022-05-02T16:41:45.25Z,2023-05-08T14:41:44Z,2022-11-08T05:00:00Z,1116,Brooks,,48103,4.32 kW Roof Mounted 12 Panel Solar Array
2080,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-31T18:52:25Z,2022-05-02T19:22:29.057Z,2023-01-31T18:30:48Z,2022-08-04T17:31:21Z,1243,Marlborough,,48104,"16 panel solar array, roof mount on garage, grid tied"
2113,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-31T18:28:34Z,2022-05-03T22:03:17.04Z,2023-02-06T18:44:11Z,2022-08-10T04:00:00Z,566,Kuehnle,,48103,"14 Panel solar array, roof mount on residence, grid tied"
2121,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-16T22:19:35Z,2022-05-04T21:09:06.113Z,2023-03-15T10:37:23Z,2022-09-17T04:00:00Z,620,Susan,,48103,"9.02kW system
22, 410W panels
7.6kW inverter
power optimizers"
2481,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-16T22:19:35Z,2022-05-04T21:09:06.113Z,2023-03-15T10:37:23Z,2022-09-17T04:00:00Z,620,Susan,,48103,"9.02kW system
22, 410W panels
7.6kW inverter
power optimizers"
2557,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-24T13:39:57Z,2022-05-10T19:27:07.367Z,2023-03-20T13:55:21Z,2023-01-05T05:00:00Z,1530,Hill,,48104,13.94 kW Roof Mount PV w/battery
2563,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-17T20:15:17Z,2022-05-11T17:49:19.17Z,2023-01-03T15:19:09Z,2022-07-08T04:00:00Z,1417,Iroquois,,48104,3.6 kW Roof Mounted 10 panel Solar Array
2883,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Void,,2022-05-13T15:23:07.137Z,,,1115,Lutz,,48103,Roof Mounted Solar Installation of 4.86 KW
2946,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-17T20:15:17Z,2022-05-11T17:49:19.17Z,2023-01-03T15:19:09Z,2022-07-08T04:00:00Z,1417,Iroquois,,48104,3.6 kW Roof Mounted 10 panel Solar Array
2969,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Expired,2022-05-21T21:18:12Z,2022-05-13T11:50:15.293Z,2023-02-21T18:59:18Z,2023-02-21T05:00:00Z,1601,Pontiac,,48105,18 panels on roof
2985,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-21T21:20:48Z,2022-05-13T15:20:18.02Z,2023-02-13T14:31:02Z,2022-08-16T04:00:00Z,1115,Lutz,,48103,Roof Mounted Solar Installation of 4.86 KW
2989,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-23T21:11:46Z,2022-05-13T19:51:23.283Z,2023-04-05T15:11:05Z,2022-10-08T04:00:00Z,2416,Dorchester,,48104,"6.08 kW array
16, 380W panels
6kW inverter
power optimizers"
3405,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-13T18:22:10Z,2022-05-19T00:07:47.61Z,2023-02-06T20:44:24Z,2022-08-19T04:00:00Z,2165,Ardenne,,48105,12 panels on roof
3440,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-06-08T09:47:40Z,2022-05-24T18:08:00.413Z,2022-12-05T10:47:04Z,2022-12-05T05:00:00Z,3425,Gettysburg,,48105,Addition of 16kWh battery to existing solar system (ELEC21-3701)
3457,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-05T21:18:05Z,2022-05-25T19:33:07.32Z,2023-03-14T15:32:58Z,2022-09-16T04:00:00Z,2144,Prairie,,48105,8.20 kW array with 11.4 kW inverter
3737,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-06-09T19:26:46Z,2022-05-31T17:58:47.027Z,2023-06-12T15:08:48Z,2022-12-14T05:00:00Z,3151,Baylis,,48108,11 panel roof mounted solar array - Electrical permit is also needed.
3772,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-05T21:18:05Z,2022-05-25T19:33:07.32Z,2023-03-14T15:32:58Z,2022-09-16T04:00:00Z,2144,Prairie,,48105,8.20 kW array with 11.4 kW inverter
4165,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24T14:44:30Z,2022-06-03T12:32:52.67Z,2023-01-30T16:30:21Z,2022-08-10T04:00:00Z,1510,Normandy,,48103,solar panels on roof
4183,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-09T11:13:35Z,2022-06-06T13:27:38.407Z,2023-04-05T14:47:47Z,2022-10-08T04:00:00Z,2206,Hill,,48104,10.8 kW Roof Mounted 30 Panel Solar System
4185,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24T14:43:31Z,2022-06-06T14:01:28.313Z,2023-07-24T14:10:40Z,2023-01-24T05:00:00Z,3445,Vintage Valley,,48105,11.520 kW Roof Mounted  32 Panel Solar Array
4186,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-05T20:00:19Z,2022-06-06T14:41:28.01Z,2023-07-03T12:10:25Z,2023-01-04T05:00:00Z,1303,Horman,,48104,7.2 kW Roof Mounted 20 Panel Solar Array
4204,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-06-24T14:45:53Z,2022-06-07T20:50:02.143Z,2023-05-30T14:15:27Z,2022-10-07T04:00:00Z,1351,Glendaloch,,48104,"Installation of a flat-roof-mounted solar array consisting of (37) solar panels with micro-inverters, 2 Tesla Powerwalls, and a surge arrester."
4510,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-06-24T14:27:23Z,2022-06-10T16:08:55.217Z,2023-05-30T14:15:27Z,2023-05-02T04:00:00Z,1351,Glendaloch,,48104,Installation of a flat-roof-mounted solar array consisting of (37) solar panels.
4666,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24T14:41:23Z,2022-06-15T20:39:03.433Z,2023-03-17T19:33:29Z,2022-09-19T04:00:00Z,819,Daniel,,48103,Installation of a roof-mounted solar array consisting of (12) solar panels with micro-inverters and a surge arrester
5055,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24T14:41:23Z,2022-06-15T20:39:03.433Z,2023-03-17T19:33:29Z,2022-09-19T04:00:00Z,819,Daniel,,48103,Installation of a roof-mounted solar array consisting of (12) solar panels with micro-inverters and a surge arrester
5069,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-06-24T14:34:15Z,2022-06-16T21:07:23.203Z,2023-04-19T15:13:34Z,2022-10-22T04:00:00Z,2348,Hickory Point,,48105,"15 panel solar array roof mounted on residence, grid tied with battery"
5075,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26T11:04:02Z,2022-06-17T16:15:29.807Z,2023-02-14T00:01:30Z,2022-08-26T04:00:00Z,810,Sunset,,48103,Solar Panel Installation on Main Roof
5527,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-03T10:24:54Z,2022-06-24T22:12:55.383Z,2023-04-19T14:45:42Z,2022-10-22T04:00:00Z,630,Archwood,,48103,"36 panel solar array roof mount on residence, grid tied"
5528,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-09T11:07:14Z,2022-06-24T23:35:04.67Z,2023-04-03T22:30:32Z,2022-10-05T04:00:00Z,2659,Sequoia,,48103,"17 panel solar array, roof mount on residence, grid tied"
5557,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-09T10:58:18Z,2022-06-28T21:48:10.03Z,2023-03-27T15:40:50Z,2022-09-28T04:00:00Z,1545,Chalmers,,48104,"Install 22 panel solar array on attached garage roof, grid tied"
5997,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-03T10:28:15Z,2022-07-06T15:48:35.127Z,2023-03-20T15:46:45Z,2022-09-22T04:00:00Z,1515,Shadford,,48104,5.76 kW Roof Mounted 16 Panel Solar Array
6005,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-12-01T12:09:11Z,2022-07-06T19:36:52.05Z,2023-09-15T19:34:08Z,2023-09-15T04:00:00Z,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount
6006,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2022-07-06T19:37:26.28Z,,,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount *DUPLICATE OF ELECR22-2023*
6322,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-08-10T18:10:39Z,2022-07-08T17:44:01.473Z,2023-04-03T16:56:46Z,2022-10-05T04:00:00Z,3635,Fox Hunt,,48105,12.6 kW Roof Mounted 35 Panel Solar Array with Battery Backup
6394,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Expired,2022-07-27T20:36:35Z,2022-07-11T19:24:57.27Z,2023-03-15T20:14:20Z,2023-02-14T05:00:00Z,405,Main,,48104,"Installation of 80 panel solar array with conduits, hardware and supports.

Installation of unistrut racking wall for equipment mounting.

Installation of (2) 20kw 3 phase inverters, 1 combiner panel, 100 amp disconnect with conduits, hardware and supports (mounted on strut rack)

Installation of conduit wire and hardware from main switch gear to roof pv equipment rack.

Installation of 100 amp rapid shutdown PV disconnect mounted directly to switch gear."
6405,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-03T10:28:15Z,2022-07-06T15:48:35.127Z,2023-03-20T15:46:45Z,2022-09-22T04:00:00Z,1515,Shadford,,48104,5.76 kW Roof Mounted 16 Panel Solar Array
6413,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-12-01T12:09:11Z,2022-07-06T19:36:52.05Z,2023-09-15T19:34:08Z,2023-09-15T04:00:00Z,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount
6414,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2022-07-06T19:37:26.28Z,,,1840,Timber,,48103,5.6 kW Residential Solar System- Roof Mount *DUPLICATE OF ELECR22-2023*
6436,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26T11:21:36Z,2022-07-07T21:15:44.213Z,2023-04-05T13:25:51Z,2022-10-08T04:00:00Z,1511,Golden,,48104,"34 panel roof mount solar array on residence, grid tied"
6443,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26T20:29:06Z,2022-07-08T15:30:50.583Z,2023-05-22T13:48:28Z,2022-12-09T05:00:00Z,1527,Waltham,,48103,solar on roof
6446,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-07-26T11:22:29Z,2022-07-08T17:50:32.01Z,2023-04-03T16:56:46Z,2022-10-05T04:00:00Z,3635,Fox Hunt,,48105,12.6 kW Roof Mounted 35 Panel Solar Array with Battery Backup
6450,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-12T09:50:19Z,2022-07-08T23:41:57.657Z,2023-03-27T15:14:45Z,2022-09-27T04:00:00Z,1200,Brooklyn,,48104,"16 SOLAR PANEL ARRAY, ROOF MOUNT ON RESIDENCE, GRID TIED"
6451,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-12T10:16:10Z,2022-07-09T01:08:31.497Z,2023-04-03T22:30:48Z,2022-10-05T04:00:00Z,2654,Sequoia,,48103,"17 panel roof mount on residence, grid tied"
6946,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Fees Paid,,2022-07-18T20:32:36.037Z,,,3108,Turnberry,,48108,Roof Mounted Solar 6.66kW 18 REC
6961,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-07-26T11:18:55Z,2022-07-19T19:20:04.167Z,2023-04-17T15:15:07Z,2022-10-20T04:00:00Z,1910,Independence,,48104,Propose to install solar panels on the existing roof of the home. All materials to be installed to manufacturer specifications per local snow and wind load.
7053,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26T11:17:26Z,2022-07-14T18:03:09.31Z,2023-05-22T15:36:50Z,2022-11-24T05:00:00Z,3232,Bluett,,48105,5.76 kW Roof Mounted 16 Panel Solar Array with Backup Battery
7059,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26T11:20:17Z,2022-07-14T20:27:25.64Z,2023-05-01T14:55:52Z,2022-11-02T04:00:00Z,784,Kuehnle,,48103,"Install 20 panel solar array on detached garage roof, grid tied"
7061,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26T11:05:04Z,2022-07-14T22:07:39.503Z,2023-07-10T13:48:51Z,2023-01-12T05:00:00Z,2021,Geddes,,48104,"Install 29-panel solar array on residence roof, grid tied"
7083,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-28T22:21:34Z,2022-07-15T20:08:23.147Z,2023-04-03T14:25:29Z,2022-10-04T04:00:00Z,541,Ashley,,48103,"Install 20- panel solar array on residence rooftop, grid tied"
7085,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-11T21:37:03Z,2022-07-15T21:24:42.013Z,2023-04-03T21:47:14Z,2022-10-11T18:34:32Z,3233,Lockridge,,48108,"Install 11 panel solar array on residence rooftop, grid tied"
7114,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-08-11T21:36:10Z,2022-07-19T19:52:35.247Z,2023-04-17T15:15:07Z,2022-10-14T04:00:00Z,1910,Independence,,48104,installation of solar array and connection to existing electrical system.
7609,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-27T20:35:35Z,2022-07-22T21:10:35.387Z,2023-09-05T16:39:27Z,2023-03-07T17:40:07Z,505,Burson,,48104,14 kW roof mount solar panels; 7.6kW & 6.0kW inverters with power optimizers
7950,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-03-21T17:05:49Z,2022-08-01T17:16:02.21Z,2023-09-27T16:31:12Z,2023-04-01T04:00:00Z,3611,Plymouth,,48105,Ballasted roof PV solar array with 23 Jinko 410W solar modules.
8038,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-01T12:14:11Z,2022-07-28T13:00:40.287Z,2023-05-30T13:53:51Z,2022-12-02T05:00:00Z,1509,Warwick,,48103,roof mounted solar
8088,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-08-11T21:38:05Z,2022-08-02T12:44:46.187Z,2023-05-08T14:50:56Z,2023-05-08T04:00:00Z,1756,Maple,,48103,solar on roof
8109,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-09-15T12:30:43Z,2022-08-03T22:36:40.55Z,2023-03-14T12:30:06Z,2023-03-14T04:00:00Z,3108,Turnberry,,48108,Roof Mounted Solar 6.66kW 18 REC
8530,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-09-15T12:30:43Z,2022-08-03T22:36:40.55Z,2023-03-14T12:30:06Z,2023-03-14T04:00:00Z,3108,Turnberry,,48108,Roof Mounted Solar 6.66kW 18 REC
8545,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-08-11T21:35:23Z,2022-08-05T14:36:09.39Z,2023-05-16T17:09:33Z,2023-01-10T15:51:39Z,3151,Baylis,,48108,11 panel roof mounted solar array
8555,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-08-26T20:28:40Z,2022-08-05T16:56:07.17Z,2023-08-14T10:54:44Z,2023-08-14T04:00:00Z,2355,Foxway,,48105,5.2kW Residential Roof Solar System
8570,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26T18:47:05Z,2022-08-08T22:52:29.483Z,2023-06-20T15:27:42Z,2023-02-02T05:00:00Z,2954,Philadelphia,,48103,3.2kW Residential Solar System
8572,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-08-26T18:46:24Z,2022-08-09T13:31:21.107Z,2023-09-25T19:35:47Z,2023-09-25T04:00:00Z,821,Bruce,,48103,2kW Residential Solar System
8575,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26T18:46:45Z,2022-08-09T16:23:59.407Z,2023-04-03T14:02:04Z,2022-10-04T04:00:00Z,2113,Thaler,,48103,6.075kW system
8581,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26T18:43:43Z,2022-08-09T21:49:02.047Z,2023-03-27T14:48:31Z,2022-09-29T04:00:00Z,906,Miner,,48103,8.4 kW roof mount system
9009,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-09-27T14:57:48Z,2022-08-11T18:33:00.69Z,2023-10-11T15:41:18Z,2023-10-11T04:00:00Z,3563,Larchmont,,48105,13.6 kW Residential Roof Solar System
9037,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26T18:40:15Z,2022-08-12T20:45:31.38Z,2023-04-11T13:51:17Z,2022-10-14T04:00:00Z,2730,Ember,,48104,4.4 kW roof mount solar with 16kWh battery
9057,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26T18:44:24Z,2022-08-17T07:16:06.103Z,2023-09-05T21:32:47Z,2023-03-10T05:00:00Z,1631,Waltham,,48103,5.6kW Roof-mounted Solar System
9059,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-01T12:20:31Z,2022-08-17T13:24:21.427Z,2023-08-21T15:00:51Z,2023-02-23T05:00:00Z,701,Liberty,,48103,2.8 kW Residential Roof Solar System
9422,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2022-09-06T14:15:17Z,2022-08-18T13:20:47.37Z,2023-09-27T16:31:12Z,2022-10-22T04:00:00Z,3611,Plymouth,,48105,Installation of 23 PV solar modules and 23 enphase micro-inverters w/ interconnection into the utility grid.
9448,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26T18:44:24Z,2022-08-17T07:16:06.103Z,2023-09-05T21:32:47Z,2023-03-10T05:00:00Z,1631,Waltham,,48103,5.6kW Roof-mounted Solar System
